mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_num_leaves,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,mean_train_score,std_train_score
98.77954721450806,0.9466381072998047,14.711493492126465,0.27788257598876953,0.02,256,"{'learning_rate': 0.02, 'num_leaves': 256}",0.9879116524495798,0.9878323813549424,0.9878720169022611,3.963554731867269e-05,1,0.9909684873832737,0.9910686104796268,0.9910185489314502,5.006154817654984e-05
94.52928566932678,0.9268937110900879,13.86843729019165,0.24797344207763672,0.02,128,"{'learning_rate': 0.02, 'num_leaves': 128}",0.9865156666040976,0.9864794967769923,0.986497581690545,1.8084913552651738e-05,2,0.9880138319586654,0.9881841755827615,0.9880990037707135,8.517181204803492e-05
68.14672565460205,0.5114235877990723,11.636487364768982,0.2637676000595093,0.02,64,"{'learning_rate': 0.02, 'num_leaves': 64}",0.9850633685805855,0.9849729701169626,0.9850181693487741,4.519923181145469e-05,3,0.9857307523317446,0.9859497639755007,0.9858402581536226,0.00010950582187807534
58.402426958084106,4.384871959686279,9.723118543624878,0.3496994972229004,0.02,32,"{'learning_rate': 0.02, 'num_leaves': 32}",0.9834643808093659,0.9832898593444975,0.9833771200769317,8.726073243420229e-05,4,0.983763994638517,0.9839197447181263,0.9838418696783217,7.787503980460908e-05
28.82662856578827,0.630165696144104,7.994865894317627,0.2011280059814453,0.4,32,"{'learning_rate': 0.4, 'num_leaves': 32}",0.983425448933197,0.983252317840279,0.983338883386738,8.656554645902759e-05,5,0.9849653227735107,0.9847971023560738,0.9848812125647922,8.411020871845754e-05
26.649774432182312,0.4065455198287964,8.610677003860474,0.08326005935668945,0.7,32,"{'learning_rate': 0.7, 'num_leaves': 32}",0.9819557706078239,0.9819195944405203,0.9819376825241721,1.8088083651779385e-05,6,0.9834010934310711,0.9836812869765922,0.9835411902038316,0.0001400967727605562
35.50458645820618,0.5999035835266113,10.101778507232666,0.12361454963684082,0.4,64,"{'learning_rate': 0.4, 'num_leaves': 64}",0.9807836430503125,0.9813766330554335,0.9810801380528731,0.0002964950025605151,7,0.9826655580336038,0.9838238054518531,0.9832446817427285,0.0005791237091246626
34.97629714012146,0.38614892959594727,10.28785514831543,0.12852191925048828,0.7,64,"{'learning_rate': 0.7, 'num_leaves': 64}",0.9798617918396006,0.9801245543684407,0.9799931731040207,0.0001313812644200274,8,0.9813057213252429,0.981954380183675,0.9816300507544589,0.00032432942921606367
50.0796035528183,1.6058076620101929,12.735095381736755,0.20415127277374268,0.4,128,"{'learning_rate': 0.4, 'num_leaves': 128}",0.9763141246237165,0.9797220260176529,0.9780180753206846,0.001703950696968215,9,0.9793153263886185,0.9821400018075513,0.9807276640980849,0.0014123377094664158
70.00021505355835,1.3321819305419922,16.317687511444092,0.15182757377624512,0.4,256,"{'learning_rate': 0.4, 'num_leaves': 256}",0.9684255532150082,0.9705472995144632,0.9694864263647357,0.0010608731497274704,10,0.9714079732593256,0.9737244596464152,0.9725662164528703,0.0011582431935447945
47.96462798118591,1.4652700424194336,12.453812599182129,0.7686114311218262,0.7,128,"{'learning_rate': 0.7, 'num_leaves': 128}",0.9675704423634429,0.9693153820056618,0.9684429121845524,0.000872469821109445,11,0.969226394736403,0.9707426950591278,0.9699845448977654,0.0007581501613623809
68.89786696434021,3.880324125289917,14.00832450389862,0.3130694627761841,0.7,256,"{'learning_rate': 0.7, 'num_leaves': 256}",0.9497646707128009,0.9656001635141073,0.9576824171134541,0.00791774640065318,12,0.9515269659234376,0.9686925146515944,0.9601097402875161,0.00858277436407845
